mandelbrot1n4w512, 127.0.0.2, 0, 0, 16374, 4393, 
mandelbrot1n4w512, 127.0.0.3, 1, 0, 9089, 4347, 
mandelbrot1n4w512, 127.0.0.4, 2, 0, 5402, 4347, 
Host,,,,,,49685,5349
mandelbrot1n4w512, 127.0.0.2, 0, 0, 60017, 4572, 
mandelbrot1n4w512, 127.0.0.3, 1, 0, 45017, 4531, 
mandelbrot1n4w512, 127.0.0.4, 2, 0, 5680, 4529, 
Host,,,,,,93156,5628
mandelbrot1n4w512, 127.0.0.4, 0, 0, 12853, 4582, 
mandelbrot1n4w512, 127.0.0.2, 1, 0, 8737, 4551, 
mandelbrot1n4w512, 127.0.0.3, 2, 0, 5685, 4546, 
Host,,,,,,22846,5637
mandelbrot1n4w512, 127.0.0.2, 0, 0, 26654, 4833, 
mandelbrot1n4w512, 127.0.0.3, 1, 0, 12430, 4801, 
mandelbrot1n4w512, 127.0.0.4, 2, 0, 5927, 4795, 
Host,,,,,,39508,5885
mandelbrot1n4w512, 127.0.0.2, 0, 0, 12141, 4572, 
mandelbrot1n4w512, 127.0.0.3, 1, 0, 8904, 4557, 
mandelbrot1n4w512, 127.0.0.4, 2, 0, 5597, 4541, 
Host,,,,,,23726,5559
mandelbrot1n4w512, 127.0.0.3, 0, 0, 14009, 4629, 
mandelbrot1n4w512, 127.0.0.4, 1, 0, 9908, 4600, 
mandelbrot1n4w512, 127.0.0.2, 2, 0, 5732, 4598, 
Host,,,,,,30175,5688
mandelbrot1n4w512, 127.0.0.2, 0, 0, 16039, 4514, 
mandelbrot1n4w512, 127.0.0.3, 1, 0, 11674, 4477, 
mandelbrot1n4w512, 127.0.0.4, 2, 0, 5513, 4461, 
Host,,,,,,26500,5479
mandelbrot1n4w512, 127.0.0.2, 0, 0, 20088, 4680, 
mandelbrot1n4w512, 127.0.0.3, 1, 0, 13991, 4642, 
mandelbrot1n4w512, 127.0.0.4, 2, 0, 5790, 4645, 
Host,,,,,,35759,5735
mandelbrot1n4w512, 127.0.0.2, 0, 0, 17277, 4416, 
mandelbrot1n4w512, 127.0.0.3, 1, 0, 11450, 4369, 
mandelbrot1n4w512, 127.0.0.4, 2, 0, 5425, 4369, 
Host,,,,,,30654,5387
mandelbrot1n4w512, 127.0.0.3, 0, 0, 11409, 4577, 
mandelbrot1n4w512, 127.0.0.2, 1, 0, 8039, 4561, 
mandelbrot1n4w512, 127.0.0.4, 2, 0, 5602, 4545, 
Host,,,,,,24310,5564
mandelbrot1n4w512, 127.0.0.2, 0, 0, 32680, 5928, 
mandelbrot1n4w512, 127.0.0.3, 1, 0, 18752, 5897, 
mandelbrot1n4w512, 127.0.0.4, 2, 0, 7122, 5897, 
Host,,,,,,286023,7028
mandelbrot1n4w512, 127.0.0.2, 0, 0, 21858, 5663, 
mandelbrot1n4w512, 127.0.0.3, 1, 0, 14673, 5632, 
mandelbrot1n4w512, 127.0.0.4, 2, 0, 6855, 5632, 
Host,,,,,,33944,6777
